numero_ocorrencia_associado;ano_fato;mes_numerico_fato;boa;buracos;material_na_pista;ondulada;outras_no_historico;rachadura;sulcos_horizontais;verificacao
8d49f62169a0bab1;2023;12;Sim;Não;Não;Não;Sim;Não;Não;8d49f62169a0bab1-Sim-Não-Não-Não-Sim-Não-Não
5e79e5128774e39d;2023;12;Sim;Não;Não;Não;Não;Não;Não;5e79e5128774e39d-Sim-Não-Não-Não-Não-Não-Não
b0de3bcf3b508738;2023;2;Não;Não;Sim;Sim;Não;Não;Não;b0de3bcf3b508738-Não-Não-Sim-Sim-Não-Não-Não
f97b46bdfc0a6864;2023;2;Sim;Não;Não;Não;Não;Não;Não;f97b46bdfc0a6864-Sim-Não-Não-Não-Não-Não-Não
d78e60ebdfdfde8c;2023;2;Sim;Não;Não;Não;Não;Não;Não;d78e60ebdfdfde8c-Sim-Não-Não-Não-Não-Não-Não
48aa9eb52a6f910e;2023;11;Sim;Não;Não;Não;Não;Não;Não;48aa9eb52a6f910e-Sim-Não-Não-Não-Não-Não-Não
917dba58aa42fda2;2023;2;Sim;Não;Não;Não;Não;Não;Não;917dba58aa42fda2-Sim-Não-Não-Não-Não-Não-Não
feeb7896f667690e;2023;2;Sim;Não;Não;Não;Não;Não;Não;feeb7896f667690e-Sim-Não-Não-Não-Não-Não-Não
12f77db25d99a3b7;2023;2;Não;Não;Não;Não;Sim;Não;Não;12f77db25d99a3b7-Não-Não-Não-Não-Sim-Não-Não
7cd5f3a11cb39b86;2023;2;Sim;Não;Não;Não;Não;Não;Não;7cd5f3a11cb39b86-Sim-Não-Não-Não-Não-Não-Não
86bf1862e43880cf;2023;2;Sim;Não;Não;Não;Não;Não;Não;86bf1862e43880cf-Sim-Não-Não-Não-Não-Não-Não
bdb18e7b8491aaa7;2023;12;Sim;Não;Não;Não;Não;Não;Não;bdb18e7b8491aaa7-Sim-Não-Não-Não-Não-Não-Não
718a573cc45735e1;2023;12;Sim;Não;Não;Não;Não;Não;Não;718a573cc45735e1-Sim-Não-Não-Não-Não-Não-Não
